year,month,day,weekend,hour,collision_type,injury_type,primary_factor,reported_location,unique_id
2015,1,4,Weekday,1800,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,SR37S & WEST WAYSIDE,145
2015,1,7,Weekend,1500,2-Car,No injury/unknown,UNSAFE BACKING,S COLLEGE MALL,146
2015,1,7,Weekend,1500,3+ Cars,No injury/unknown,UNSAFE LANE MOVEMENT,S WALNUT & W COUNTRY CLUB,147
2015,1,7,Weekend,1600,2-Car,Non-incapacitating,FAILURE TO YIELD RIGHT OF WAY,E 3RD & OVERHILL,148
2015,1,5,Weekday,1500,1-Car,No injury/unknown,ANIMAL/OBJECT IN ROADWAY,NORTH TEXAS RIDGE,149
2015,1,6,Weekday,1600,2-Car,No injury/unknown,FOLLOWING TOO CLOSELY,EAST SMITHVILLE,150
2015,1,6,Weekend,1900,1-Car,No injury/unknown,RAN OFF ROAD RIGHT,SOUTH BREEDEN & SR45W,151
2015,1,7,Weekend,1100,2-Car,No injury/unknown,DISREGARD SIGNAL/REG SIGN,GATES & SR45W,152
2015,1,1,Weekend,800,1-Car,No injury/unknown,RAN OFF ROAD RIGHT,CAVE ROAD & W AIRPORT ROAD,153
2015,1,1,Weekend,900,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,MILLER & S WALNUT,154
2015,1,1,Weekend,1200,2-Car,No injury/unknown,BRAKE FAILURE OR DEFECTIVE,2101 S LIBERTY & W 2ND,155
2015,1,7,Weekend,2100,2-Car,No injury/unknown,FOLLOWING TOO CLOSELY,N MARY & W REEVES,156
2015,1,1,Weekend,1400,2-Car,No injury/unknown,FOLLOWING TOO CLOSELY,E 3RD & S JEFFERSON,157
2015,1,6,Weekday,700,2-Car,No injury/unknown,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,BURMA & SR37,158
2015,1,1,Weekend,800,1-Car,No injury/unknown,SPEED TOO FAST FOR WEATHER CONDITIONS,GETTYS CREEK & SR46,159
2015,1,1,Weekend,900,1-Car,No injury/unknown,SPEED TOO FAST FOR WEATHER CONDITIONS,GETTYS CREEK & SR46,160
2015,1,1,Weekday,2200,1-Car,No injury/unknown,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,S MONON,161
2015,1,2,Weekday,200,1-Car,No injury/unknown,RAN OFF ROAD RIGHT,E 14TH,162
2015,1,2,Weekday,200,2-Car,No injury/unknown,UNSAFE LANE MOVEMENT,JORDAN & THIRD,163
2015,1,1,Weekend,0,1-Car,No injury/unknown,ANIMAL/OBJECT IN ROADWAY,S ROCKPORT & W MAY,164
2015,1,6,Weekend,2200,1-Car,Non-incapacitating,RAN OFF ROAD RIGHT,ANNE & STRAIN RIDGE,165
2015,1,7,Weekend,2300,1-Car,No injury/unknown,RAN OFF ROAD RIGHT,E WINDEMERE DR,166
2015,1,2,Weekday,300,3+ Cars,No injury/unknown,UNSAFE SPEED,E 13TH & INDIANA,167
2015,1,2,Weekday,1000,1-Car,No injury/unknown,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,WEST 2ND,168
2015,1,5,Weekday,700,1-Car,No injury/unknown,RAN OFF ROAD RIGHT,W BEECH & W WOODLAND,169
2015,1,2,Weekday,1500,2-Car,Non-incapacitating,FAILURE TO YIELD RIGHT OF WAY,W SR 45,170
2015,1,2,Weekday,1700,2-Car,No injury/unknown,FOLLOWING TOO CLOSELY,SR37S & W VERNAL,171
2015,1,2,Weekday,1600,2-Car,No injury/unknown,FOLLOWING TOO CLOSELY,BLOOMFIELD & LANDMARK,172
2015,1,3,Weekday,1800,2-Car,No injury/unknown,DISREGARD SIGNAL/REG SIGN,SR37S & VICTOR,173
2015,1,3,Weekday,0,2-Car,No injury/unknown,DRIVER DISTRACTED - EXPLAIN IN NARRATIVE,OLD STATE ROAD 37 & ORCHARD,174
2015,1,1,Weekend,900,1-Car,Incapacitating,SPEED TOO FAST FOR WEATHER CONDITIONS,FRIENDSHIP & SR46,175
2015,1,1,Weekend,1300,2-Car,No injury/unknown,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,SO KINGSTON,176
2015,1,6,Weekday,1000,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,7TH & GRANT,177
2015,1,7,Weekend,1500,2-Car,No injury/unknown,UNSAFE LANE MOVEMENT,BLOOMFIELD & CORY,178
2015,1,7,Weekend,1800,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,KIRKWOOD & MADISON,179
2015,1,7,Weekend,1900,2-Car,No injury/unknown,UNSAFE BACKING,S WALNUT,180
2015,1,7,Weekend,2300,1-Car,No injury/unknown,LEFT OF CENTER,SR37S & WAYSIDE,181
2015,1,6,Weekday,1300,2-Car,No injury/unknown,IMPROPER LANE USAGE,VERNAL,182
2015,2,1,Weekend,100,1-Car,Non-incapacitating,RAN OFF ROAD RIGHT,JEFFERSON & TENTH,183
2015,1,7,Weekend,1700,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,9TH & COLLEGE,184
2015,2,1,Weekend,1100,2-Car,No injury/unknown,UNSAFE BACKING,NORTH WALNUT,185
2015,1,7,Weekend,1900,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,EAST RHORER & SOUTH WALNUT STREET,186
2015,2,1,Weekend,1500,2-Car,Incapacitating,IMPROPER TURNING,ATWATER & JORDAN,187
2015,2,1,Weekend,1800,1-Car,No injury/unknown,IMPROPER TURNING,SR45E,188
2015,1,7,Weekend,1800,1-Car,Incapacitating,RAN OFF ROAD RIGHT,HARRODSBURG & W POPCORN,189
2015,1,7,Weekend,300,1-Car,No injury/unknown,DRIVER ASLEEP OR FATIGUED,E CHAMBERS & SR37,190
2015,2,2,Weekday,900,2-Car,No injury/unknown,FOLLOWING TOO CLOSELY,1425 S CURRY & GIFFORD,191
2015,2,2,Weekday,1000,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,BUICK CADILLAC & COLLEGE MALL,192
2015,2,2,Weekday,1100,3+ Cars,No injury/unknown,FOLLOWING TOO CLOSELY,SARE & SOUTH MEADOW,193
2015,2,2,Weekday,900,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,E COVENANTER & S CLARIZZ,194
2015,2,2,Weekday,1200,2-Car,No injury/unknown,FOLLOWING TOO CLOSELY,11TH & VERNAL,195
2015,2,2,Weekday,1500,2-Car,No injury/unknown,FOLLOWING TOO CLOSELY,LIBERTY & THIRD,196
2015,2,2,Weekday,1500,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,2ND & LINCOLN,197
2015,2,2,Weekday,1100,2-Car,Incapacitating,FAILURE TO YIELD RIGHT OF WAY,ATWATER & HAWTHORNE,198
2015,2,3,Weekday,900,2-Car,No injury/unknown,FOLLOWING TOO CLOSELY,KIMBLE & W 3RD,199
2015,2,3,Weekday,900,2-Car,No injury/unknown,FOLLOWING TOO CLOSELY,E WINSLOW & S WALNUT,200
2015,2,3,Weekday,900,2-Car,No injury/unknown,VIEW OBSTRUCTED,SOUTH MULLER,201
2015,2,3,Weekday,1400,2-Car,Non-incapacitating,FOLLOWING TOO CLOSELY,CONSTITUTION & LIBERTY,202
2015,2,3,Weekday,1500,2-Car,No injury/unknown,UNSAFE BACKING,S COLLEGE MALL,203
2015,2,3,Weekday,1600,2-Car,No injury/unknown,IMPROPER TURNING,10TH & UNION,204
2015,2,3,Weekday,1600,2-Car,Incapacitating,FAILURE TO YIELD RIGHT OF WAY,NORTH WILLIS & WESTFIELD,205
2015,2,3,Weekday,1400,2-Car,No injury/unknown,UNSAFE BACKING,S MONROE MEDICAL PARK,206
2015,2,3,Weekday,1700,2-Car,No injury/unknown,FOLLOWING TOO CLOSELY,17TH & FESS,207
2015,2,3,Weekday,1700,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,N CURRY & W VERNAL,208
2015,2,3,Weekday,1700,2-Car,Non-incapacitating,FAILURE TO YIELD RIGHT OF WAY,2400 S WALNUT & S WALNUT ST,209
2015,2,3,Weekday,1900,Bus,No injury/unknown,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,LONGVIEW & PETE ELLIS,210
2015,2,3,Weekday,1600,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,10TH & COLLEGE,211
2015,2,4,Weekday,300,1-Car,No injury/unknown,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,S COPPER BEACH,212
2015,2,4,Weekday,1100,1-Car,No injury/unknown,RAN OFF ROAD RIGHT,EAST ATWATER & HAWTHORNE,213
2015,2,4,Weekday,1200,2-Car,No injury/unknown,UNSAFE BACKING,DECKARD & SR45,214
2015,2,3,Weekday,1300,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,E WOODVIEW & SR46E,215
2015,2,1,Weekend,1300,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,PARKING LOT 5 & WEST 45,216
2015,2,2,Weekday,1000,1-Car,No injury/unknown,RAN OFF ROAD RIGHT,RATLIFF & STARNS,217
2015,2,4,Weekday,1300,2-Car,No injury/unknown,UNSAFE BACKING,JORDAN & LAW,218
2015,2,4,Weekday,1300,3+ Cars,Non-incapacitating,DRIVER DISTRACTED - EXPLAIN IN NARRATIVE,MILO B SAMPSON & SR46E,219
2015,2,4,Weekday,1700,2-Car,No injury/unknown,FOLLOWING TOO CLOSELY,RANGE & STATE ROAD 46,220
2015,1,5,Weekday,2000,2-Car,No injury/unknown,FOLLOWING TOO CLOSELY,FORREST PARK DR & SR46E,221
2015,2,3,Weekday,2000,Bus,No injury/unknown,ROADWAY SURFACE CONDITION,W STATE ROAD 46,222
2015,2,4,Weekday,1500,1-Car,No injury/unknown,DRIVER ILLNESS,SALE & SR46,223
2015,2,2,Weekday,1200,2-Car,No injury/unknown,FOLLOWING TOO CLOSELY,DUNN & SR46E,224
2015,2,2,Weekday,1600,2-Car,No injury/unknown,UNSAFE BACKING,17TH & WALNUT GROVE,225
2015,2,4,Weekday,1300,1-Car,No injury/unknown,ROADWAY SURFACE CONDITION,SR446S & WALDRIP,226
